"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","161305","","","","0"
"2021","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","164758","","","","0"
"2022","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","170688","","","","0"
"2014","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","144283","","","","0"
"2015","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","144546","","","","0"
"2016","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","146969","","","","0"
"2017","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","150402","","","","0"
"2018","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","153396","","","","0"
"2019","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","157419","","","","0"
"2020","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","161305","","","","0"
"2021","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","164758","","","","0"
"2022","Prince Edward Island, Prince Edward Island","2016S05001110","Both sexes","All ages","Persons","249","units","0","v1061306761","7.1.1","170688","","","","0"
"2014","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","938545","","","","0"
"2015","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","936525","","","","0"
"2016","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","942790","","","","0"
"2017","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","950108","","","","0"
"2018","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","958406","","","","0"
"2019","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","970243","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","981691","","","","0"
"2021","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","991117","","","","0"
"2022","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v1061307091","8.1.1","1019725","","","","0"
"2014","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","135510","","","","0"
"2015","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","134406","","","","0"
"2016","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","134124","","","","0"
"2017","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","133370","","","","0"
"2018","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","133185","","","","0"
"2019","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","134508","","","","0"
"2020","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","133691","","","","0"
"2021","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","131503","","","","0"
"2022","Cape Breton, Nova Scotia","2016S05001210","Both sexes","All ages","Persons","249","units","0","v1061307421","9.1.1","132726","","","","0"
"2014","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","155096","","","","0"
"2015","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153802","","","","0"
"2016","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153708","","","","0"
"2017","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153369","","","","0"
"2018","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153180","","","","0"
"2019","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153430","","","","0"
"2020","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","153888","","","","0"
"2021","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","154835","","","","0"
"2022","North Shore, Nova Scotia","2016S05001220","Both sexes","All ages","Persons","249","units","0","v1061307751","10.1.1","157160","","","","0"
"2014","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","125640","","","","0"
"2015","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","125539","","","","0"
"2016","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","125948","","","","0"
"2017","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","126637","","","","0"
"2018","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","127355","","","","0"
"2019","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","127742","","","","0"
"2020","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","128306","","","","0"
"2021","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","129296","","","","0"
